"","NEAR BAY","<1H OCEAN","INLAND","NEAR OCEAN","ISLAND","longitude","latitude","housing_median_age","population","households","median_income","mean_bedrooms","mean_rooms","median_house_value"
"1",1,0,0,0,0,-1.3278030546903,1.05252278494966,0.982118865674763,-0.974404991546993,-0.977009185045235,2.34470895611761,-0.148510661151533,0.628544226415153,452600
"2",1,0,0,0,0,-1.3228118684352,1.043159280396,-0.607004208280506,0.86141799982966,1.66992057259179,2.33218146484031,-0.248535935662266,0.327033434935336,358500
"3",1,0,0,0,0,-1.3327942409454,1.03847752811917,1.85613655635016,-0.820757468459192,-0.843616479867875,1.78265621721385,-0.0529006570927138,1.15559247066081,352100
"4",1,0,0,0,0,-1.3377854272005,1.03847752811917,1.85613655635016,-0.766009500462389,-0.733763663839461,0.932944907593737,-0.0536460296602735,0.156962279557161,341300
"5",1,0,0,0,0,-1.3377854272005,1.03847752811917,1.85613655635016,-0.759828278269202,-0.62914193428859,-0.0128806838430308,-0.0381946577868089,0.344702448698212,342200
"6",1,0,0,0,0,-1.3377854272005,1.03847752811917,1.85613655635016,-0.894049103035557,-0.801767788047527,0.0874445194113786,0.00523299632929165,-0.26972312505889,269700
"7",1,0,0,0,0,-1.3377854272005,1.03379577584234,1.85613655635016,-0.292704486812613,0.0378215915982104,-0.111363608968424,-0.288058741480083,-0.200912830021283,299200
"8",1,0,0,0,0,-1.3377854272005,1.03379577584234,1.85613655635016,-0.237073487073926,0.385688842354855,-0.395127077354846,-0.0752878703173785,-0.2552257496514,241400
"9",1,0,0,0,0,-1.3427766134556,1.03379577584234,1.06157501937253,-0.193804931721614,0.249680593938723,-0.942336318190543,0.0322384283006487,-0.458691462229524,226700
"10",1,0,0,0,0,-1.3377854272005,1.03379577584234,1.85613655635016,0.110841019228335,0.560930239352564,-0.0944672866994497,-0.213256603641867,-0.185278669302392,261100
"11",1,0,0,0,0,-1.3427766134556,1.03847752811917,1.85613655635016,-0.455182327319252,-0.255119251144227,-0.351386130920211,-0.0410436707866693,0.01964785622054,281500
"12",1,0,0,0,0,-1.3427766134556,1.03847752811917,1.85613655635016,0.0693385273597914,0.613241104127999,-0.315909117807162,-0.147136059511468,-0.265349327295031,241800
"13",1,0,0,0,0,-1.3427766134556,1.03847752811917,1.85613655635016,-0.289172359845077,-0.0824933973852909,-0.418813510442193,-0.169677603888758,-0.0429841258261937,213500
"14",1,0,0,0,0,-1.3427766134556,1.03379577584234,1.85613655635016,-0.954095261483663,-0.85146310958419,-0.630096493581332,-0.00618121860812713,-0.577566589589147,191300
"15",1,0,0,0,0,-1.3427766134556,1.03847752811917,1.85613655635016,-0.188506741270311,0.315069174908018,-1.02850229811052,-0.175731804714673,-0.471307564455755,159200
"16",1,0,0,0,0,-1.3427766134556,1.03847752811917,1.69722424895463,-0.643268088340526,-0.616064218094731,-0.918860431175083,-0.0557449310493787,-0.479584666432124,140000
"17",1,0,0,0,0,-1.34776779971069,1.03847752811917,1.85613655635016,-0.55849704111967,-0.440822821097023,-0.576723064357843,-0.101263401758725,0.206362800140716,152500
"18",1,0,0,0,0,-1.34776779971069,1.03847752811917,1.85613655635016,-0.686536643692837,-0.514058031782632,-0.921386984037733,-0.257943056524015,-0.556223992465835,155500
"19",1,0,0,0,0,-1.3427766134556,1.03379577584234,1.69722424895463,-0.384539787968539,-0.210655016085107,-0.989340728739434,-0.0288761785130196,-0.0344859958139918,158700
"20",1,0,0,0,0,-1.34776779971069,1.03379577584234,1.85613655635016,-0.649449310533713,-0.587293242468242,-0.667099965715566,-0.0332726935100253,0.0147341358950538,162900
